skill,link
PowerPoint,https://www.coursera.org/search?query=PowerPoint
Problem Solving,https://www.coursera.org/search?query=Problem%20Solving
Project Management,https://www.coursera.org/search?query=Project%20Management
Prometheus,https://www.pluralsight.com/search?q=Prometheus
Prompt Engineering,https://www.coursera.org/search?query=Prompt%20Engineering
Prototyping,https://www.coursera.org/search?query=Prototyping
PyTorch,https://www.coursera.org/search?query=PyTorch
Python,https://www.udemy.com/courses/search/?q=Python
Qlik Sense,https://www.udemy.com/courses/search/?q=Qlik%20Sense
QlikView,https://www.udemy.com/courses/search/?q=QlikView
R,https://www.coursera.org/search?query=R
React,https://www.coursera.org/search?query=React
Redis,https://www.pluralsight.com/search?q=Redis
Regression,https://www.coursera.org/search?query=Regression
Regression Testing,https://www.coursera.org/search?query=Regression%20Testing
Reporting,https://www.coursera.org/search?query=Reporting
Robot Framework,https://www.coursera.org/search?query=Robot%20Framework
Ruby,https://www.coursera.org/search?query=Ruby
Ruby on Rails,https://www.coursera.org/search?query=Ruby%20on%20Rails
Rust,https://www.coursera.org/search?query=Rust
SAP,https://www.linkedin.com/learning/search?keywords=SAP
SAP ERP,https://www.coursera.org/search?query=SAP%20ERP
SAP HANA,https://www.linkedin.com/learning/search?keywords=SAP%20HANA
SASS,https://www.freecodecamp.org/news/search/?query=SASS
SCSS,https://www.freecodecamp.org/news/search/?query=SCSS
SD-WAN,https://www.coursera.org/search?query=SD-WAN
SIEM,https://www.coursera.org/search?query=SIEM
SOC,https://www.coursera.org/search?query=SOC
SQL,https://www.coursera.org/search?query=SQL
SQL Server,https://www.coursera.org/search?query=SQL%20Server
SQLite,https://www.coursera.org/search?query=SQLite
SSL/TLS,https://www.coursera.org/search?query=SSL/TLS
SSO,https://www.udemy.com/courses/search/?q=SSO
Salesforce,https://www.coursera.org/search?query=Salesforce
Scala,https://www.udemy.com/courses/search/?q=Scala
SciPy,https://www.udemy.com/courses/search/?q=SciPy
Scikit-learn,https://www.coursera.org/search?query=Scikit-learn
Scrum,https://www.coursera.org/search?query=Scrum
Seaborn,https://www.coursera.org/search?query=Seaborn
Selenium,https://www.udemy.com/courses/search/?q=Selenium
Sketch,https://www.freecodecamp.org/news/search/?query=Sketch
Snowflake,https://www.coursera.org/search?query=Snowflake
SoapUI,https://www.udemy.com/courses/search/?q=SoapUI
Software Testing,https://www.coursera.org/search?query=Software%20Testing
Spring,https://www.coursera.org/search?query=Spring
Spring Boot,https://www.coursera.org/search?query=Spring%20Boot
Statistics,https://www.coursera.org/search?query=Statistics
Swift,https://www.udemy.com/courses/search/?q=Swift
Symfony,https://www.udemy.com/courses/search/?q=Symfony
TCP/IP,https://www.coursera.org/search?query=TCP/IP
